spatial id,temporal id,Target,social-distancing-total-grade t,social-distancing-encounters-grade t-1,social-distancing-encounters-grade t,social-distancing-travel-distance-grade t,Retail t,Grocery t,Workplace t,weekend t,daily-state-test t-1,daily-state-test t,precipitation t,temperature t,confirmed t,futuristic virus-pressure t-1,futuristic virus-pressure t,total_population,female-percent,area,population_density,latitude,longitude,hospital_beds,ventilator_capacity,icu_beds,houses_density,less_than_high_school_diploma,high_school_diploma_only,some_college_or_higher,age_0_14,age_15_39,age_40_59,age_60_79,age_80_or_higher,total_college_population,smokers,diabetes,Religious,party,airport_distance,passenger_load,meat_plants,median_household_income,%insured,deaths_per_100000
1,2020/02/03,0.0,3.9318256327243257,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,0.0,0.0,4.908948900338009,12.056750700280116,0.0,0.0,0.0,11.35027573107018,0.41371910423347286,6.632111306647283,4.650742570089559,3.495944624871527,-86.65005382980394,0.0026122886591086916,0.0003026666565877323,0.0002910902502474115,3.880775373209834,2.866561109202446,3.5649932732744336,3.8518149634969276,2.9547060098061846,3.4638959758777195,3.3188098791743545,2.8616404998556835,1.2992829841302609,0.4006694020458169,2.9852026535880927,2.789359075174441,4.099559697901209,0.0,4.4379721753344725,0.006824805130707306,1.2156688440891272,10.690925677078454,4.478833687559666,7.1072969951409295
4,2020/02/03,0.0,2.70805020110221,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,2.0121361707551434e-08,2.0121361707551434e-08,1.9764591484269771,6.306857142857142,0.0,0.0,0.0,13.07759555276993,0.4033198196238335,8.932336558165762,4.062030887840817,3.516782556145751,-111.46323212666667,0.0012896228968288111,0.00024094096008469613,0.0002383423740395474,3.2012664865543012,2.769249820974266,3.3421548410283717,4.021773869387265,3.0413427848060435,3.4339872044851463,3.237370407504365,2.954910279033736,1.3173014896329391,0.38877858647876845,2.80238481836374,2.4720465340583955,3.616308761279101,0.0,4.953210127509828,0.06518848251489458,1.2039728043259361,10.801733790691125,4.463461446845463,6.901717085729803
5,2020/02/03,0.0,3.9889840465642745,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,0.0,0.0,4.141941438911386,6.698412698412696,0.0,0.0,0.0,10.846959937688622,0.40992575339427223,6.563909591831269,4.2602264166242865,3.5542260997966144,-92.49133514833332,0.002319834256598683,0.00027634693131368043,0.0002693001847040695,3.4686859452904546,2.740840023925201,3.6337777473307016,3.842156736767884,2.9864298808916776,3.4429078702435256,3.294464182192357,2.892427257078261,1.4226620052907655,0.34840927655779996,3.0116888435592655,2.709530586272644,4.036532339924733,0.0,4.6956863619681135,0.025324618235165693,1.1290097658524807,10.67798513237666,4.506700126195722,7.116064905196103
6,2020/02/03,0.005194805194805195,4.007333185232471,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,2.0121361707551434e-08,2.0121361707551434e-08,1.919440448174402,6.44212987012987,0.0051813587419975845,0.011009059804259902,0.030072026788544138,13.483367301409674,0.4025232802663463,7.934026630107489,6.6236523260783935,3.6317036664567532,-120.7312989472727,0.001865542607614012,0.00019919340080113673,0.00021288994436875262,5.720861753509301,2.754471038265362,3.151180812096849,4.109531682180754,2.9652730660692823,3.5003568925874324,3.3328536500876447,2.7737244407037087,1.3156767939059373,0.39346852461872894,2.489588405075093,2.2779197527590522,3.6983796386619567,0.6931471805599453,4.650657405151612,0.26036724226672986,2.593896933496405,11.123553170123323,4.523593670856476,6.740955542135112
8,2020/02/03,0.0,3.7376696182833684,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,2.0121361707551434e-08,2.0121361707551434e-08,3.2203713047200244,-6.277551020408163,0.0,0.0,0.0,11.790031630579836,0.3961772263405679,7.484527672908843,5.33841623446223,3.6655629262856753,-105.55812357380952,0.0022628784171613227,0.00022696331951519124,0.00022460964780073552,4.521698303823396,2.201184978552316,3.273183618702336,4.167477002009473,2.943185060506847,3.4679655581269957,3.3940288921835426,2.787360039560094,1.1601701816675432,0.29900901999647966,2.6494503524385973,1.9431853517291282,3.701889690849951,0.6931471805599453,4.617009957317425,1.187597456803908,1.555635206441124,11.056479043878442,4.4961210351871115,6.666844705692131
9,2020/02/03,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,4.081884880060553e-08,2.0121361707551434e-08,3.3552602864751297,1.1714285714285713,0.0,0.0,0.004073325387635869,13.096307714854715,0.41048071340165987,6.459917868103801,6.636609941053477,3.7289581248031856,-72.67392697,0.0015465193102042597,0.00026748191946084375,0.00025225668678957445,5.773064548764487,2.1940449244188396,3.349904087274605,4.1360804247520395,2.906120114864304,3.4657359027997265,3.420065865966538,2.7454377331738304,1.488077055429833,0.4878907231165111,2.4810004439065505,2.21764948218826,3.865230843921387,0.6931471805599453,3.7658326952048404,0.05546743443550158,2.2881963555419462,11.236230432384875,4.547083145245684,6.791285666122567
10,2020/02/03,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,2.0121361707551434e-08,2.0121361707551434e-08,3.977453985348737,7.733333333333334,0.0,0.0,0.0,12.683518305707695,0.41658816238303725,6.476228496546113,6.430601752000549,3.6663596977586574,-75.53323745666665,0.001800991816810971,0.0002364257446580445,0.0002637898334249075,5.588576490548188,2.4188855486902066,3.4719664525503626,4.036008985209137,2.9444389791664403,3.4657359027997265,3.3202283191284883,2.8903717578961645,1.3862943611198906,0.4639161305721488,2.7757362386090416,2.498699971920336,3.6375861597263857,0.6931471805599453,4.149915734732473,0.0005077215178761151,2.1972245773362196,11.026049630544245,4.539180276536414,6.926184414450504
12,2020/02/03,0.005194805194805195,4.007333185232471,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,2.0121361707551434e-08,2.0121361707551434e-08,3.8380492899958525,15.982181818181818,0.0,0.0,0.0,12.839151154818174,0.4021210098990623,6.728676241354546,6.098112097165647,3.3595115273042286,-82.59713651599998,0.001843765540910248,0.0002947951389585368,0.0002893009537711581,5.324088536975315,2.6378878148305374,3.493748939027401,3.97214268694946,2.837482293975792,3.4138443433629226,3.322416503809041,2.9984558340210317,1.5533484457830569,0.2704578662858001,2.9319602573429924,2.510190366282091,3.6824954835040127,0.0,3.9399233513461023,0.12649915148392293,1.9740810260220096,10.852517548770466,4.433037638161957,7.012778465023453
13,2020/02/03,0.0,4.290459441148391,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,0.0,0.0,4.472946297167826,11.327866927592954,0.0,0.0,0.0,11.354705099670431,0.41141838684990456,5.985046047332833,5.598796167988677,3.4951037508442937,-83.49671969383562,0.003154604570639638,0.0003463498568402971,0.0003272674599271978,4.727811234938538,2.832407217450691,3.527930604851744,3.891009234034058,3.013383784129313,3.498995124938282,3.3124410210563644,2.7802646661118855,1.1562779305179187,0.35850630118840987,2.889283002346868,2.6593970138523813,3.934775882953277,0.0,4.484833254500983,1.8393482401078185,1.4032726976543084,10.808858330199628,4.424017101998998,6.961597240564681
15,2020/02/03,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.4519851237430572,0.0,0.0,3.345382602555759,9.921428571428573,0.0,0.0,0.0,12.780156831010054,0.40725603202265825,7.379420027804505,6.1850001783915385,3.044076979950411,-157.41445579999998,0.001805472346515233,0.00013804708898756593,0.0001509481579146224,5.196714781017534,2.0825616690160795,3.3886185994552953,4.132362629409622,2.8903717578961645,3.457892725338701,3.3758795736778655,2.7880929087757464,1.3862943611198906,0.2490655728399573,2.5338639087859964,2.3100571078327468,3.7669972333778885,0.6931471805599453,3.3660696294929893,0.18877235887680946,2.70805020110221,11.200137527884545,4.551823082729285,6.67430883467203
